candle_begin_time,open,high,low,close,volume
2018-09-25 12:45:00,5.2056,5.2337,5.2056,5.2156,97183.29631527
2018-09-25 12:50:00,5.2159,5.231,5.2081,5.2294,39826.71781305
2018-09-25 12:55:00,5.2325,5.2337,5.2159,5.2249,51164.23382081001
2018-09-25 13:00:00,5.223,5.2249,5.2072,5.2187,33382.5675528
2018-09-25 13:05:00,5.2186,5.2186,5.1964,5.1978,10399.48640753
2018-09-25 13:10:00,5.1997,5.2125,5.19918735,5.2,24984.65040356
2018-09-25 13:15:00,5.204,5.204,5.1818,5.192,21098.07431088
2018-09-25 13:20:00,5.1918,5.20460501,5.187,5.19459412,13327.81522231
2018-09-25 13:25:00,5.1944,5.1945,5.1801,5.1807,8153.94608182
2018-09-25 13:30:00,5.1808,5.1965,5.1771,5.1892,11251.12393411
2018-09-25 13:35:00,5.1892,5.1892,5.1774,5.183,10190.741423619998
2018-09-25 13:40:00,5.1823,5.1983,5.1823,5.1973,4351.24548433
2018-09-25 13:45:00,5.1967,5.1967,5.189,5.1939,2100.46646813
2018-09-25 13:50:00,5.19385007,5.1939,5.176,5.186,42425.73460437
2018-09-25 13:55:00,5.186,5.1862,5.17,5.1757,15781.112111269998
2018-09-25 14:00:00,5.1836,5.1836,5.1501,5.1573,35096.579427900004
2018-09-25 14:05:00,5.1573,5.17505607,5.15,5.17505607,29456.62177288
2018-09-25 14:10:00,5.1702,5.1752,5.1536,5.1752,8200.8273238
2018-09-25 14:15:00,5.1774,5.1804,5.1717,5.1785,1217.73680114
2018-09-25 14:20:00,5.1806,5.1806,5.1628,5.1778,14554.99818182
2018-09-25 14:25:00,5.1755,5.1772,5.1755,5.1757,4448.19434998
2018-09-25 14:30:00,5.1757,5.1889,5.1719,5.1887,14833.091320249998
2018-09-25 14:35:00,5.1887,5.1974,5.1887,5.1922,24320.05337787
2018-09-25 14:40:00,5.1922,5.1994,5.188,5.1956,9120.08691491
2018-09-25 14:45:00,5.1956,5.2,5.1948,5.1954,3928.16871235
2018-09-25 14:50:00,5.19534865,5.2,5.19534865,5.1958,7877.34070132
2018-09-25 14:55:00,5.1959,5.1959,5.1861,5.1886,20979.2534664
2018-09-25 15:00:00,5.1886,5.1967,5.1885,5.19181239,5615.9115617900015
2018-09-25 15:05:00,5.19240177,5.1964,5.19240177,5.195,3855.13929215
2018-09-25 15:10:00,5.1928,5.1928,5.1735,5.1735,28206.53121425
2018-09-25 15:15:00,5.1757,5.1838,5.1584,5.1755,13763.88563979
2018-09-25 15:20:00,5.1769,5.1876,5.17620029,5.1767,8150.497815449998
2018-09-25 15:25:00,5.1761,5.1761,5.1592,5.1655,10043.97744712
2018-09-25 15:30:00,5.1664,5.1664,5.1306,5.1306,28771.460032830004
2018-09-25 15:35:00,5.1306,5.1676,5.1082,5.1676,80193.69683099
2018-09-25 15:40:00,5.1676,5.1868,5.1502,5.1786,26114.78303359
2018-09-25 15:45:00,5.1794,5.1825,5.1578,5.1589,6808.63775648
2018-09-25 15:50:00,5.1658,5.1686,5.1644,5.1644,3726.50974756
2018-09-25 15:55:00,5.1597,5.1674,5.1514,5.1572,6218.12384447
2018-09-25 16:00:00,5.1571,5.1852,5.1571,5.1834,10860.38438261
2018-09-25 16:05:00,5.1851,5.1852,5.1667,5.1775,7612.03168135
2018-09-25 16:10:00,5.1738,5.1782,5.1727,5.17389285,3303.06846852
2018-09-25 16:15:00,5.17389285,5.2,5.17389285,5.1976,17995.92420195
2018-09-25 16:20:00,5.19778068,5.1984,5.1924,5.1967,508.0
2018-09-25 16:25:00,5.1977,5.1977,5.1914,5.1925,2866.27378381
2018-09-25 16:30:00,5.1925,5.2002,5.1875,5.1892,23877.10528803
2018-09-25 16:35:00,5.1881,5.1929,5.1643,5.1676,78375.16056091001
2018-09-25 16:40:00,5.1695,5.1739999999999995,5.1584,5.1641,22146.98913
2018-09-25 16:45:00,5.1642,5.1678,5.1534,5.166,8439.31465668
2018-09-25 16:50:00,5.1664,5.1664,5.1116,5.1315,48398.10109151
2018-09-25 16:55:00,5.1345,5.1498,5.13,5.13,3653.4618571
2018-09-25 17:00:00,5.13,5.148,5.1162,5.14338929,22340.59604055
2018-09-25 17:05:00,5.1422,5.1437,5.132000000000001,5.132000000000001,5266.1377668999985
2018-09-25 17:10:00,5.1321,5.135,5.1111,5.1197,11185.44384213
2018-09-25 17:15:00,5.1256,5.1296,5.1025,5.1287,48858.02356653
2018-09-25 17:20:00,5.12890862,5.1417,5.1277,5.138999999999999,4514.399337659999
2018-09-25 17:25:00,5.1369,5.1369,5.1216,5.1317,6415.89698072
2018-09-25 17:30:00,5.138,5.1471,5.1314,5.1424,5875.217287789998
2018-09-25 17:35:00,5.1466,5.149,5.14480429,5.1468,2820.99332932
2018-09-25 17:40:00,5.1467,5.1467,5.1316,5.1345,6176.551853229998
2018-09-25 17:45:00,5.1345,5.1346,5.1256,5.1339999999999995,1756.58024724
2018-09-25 17:50:00,5.1358,5.1358,5.0956,5.0969,29666.641460390005
2018-09-25 17:55:00,5.0969,5.1319,5.08,5.121,75530.20233564
2018-09-25 18:00:00,5.1248,5.1326,5.11597264,5.11597264,4834.903125899999
